"state","acq_date","cumu_sum","rank","next_val"
"Western Australia",2019-09-03,329,4,353
"Victoria",2019-09-03,14,5,15
"Tasmania",2019-09-03,5,6,10
"Northern Territory",2019-09-04,3218,1,3265
"Queensland",2019-09-04,1405,2,1542
"New South Wales",2019-09-04,474,3,481
"Western Australia",2019-09-04,353,4,378
"Victoria",2019-09-04,15,5,17
"Northern Territory",2019-09-05,3265,1,3333
"Queensland",2019-09-05,1542,2,1740
"New South Wales",2019-09-05,481,3,717
"Western Australia",2019-09-05,378,4,429
"Victoria",2019-09-05,17,5,18
"Northern Territory",2019-09-06,3333,1,3392
"Queensland",2019-09-06,1740,2,1901
"New South Wales",2019-09-06,717,3,975
"Western Australia",2019-09-06,429,4,456
"Northern Territory",2019-09-07,3392,1,3550
"Queensland",2019-09-07,1901,2,2069
"New South Wales",2019-09-07,975,3,1130
"Western Australia",2019-09-07,456,4,477
"Northern Territory",2019-09-08,3550,1,3584
"Queensland",2019-09-08,2069,2,2346
"New South Wales",2019-09-08,1130,3,1337
"Western Australia",2019-09-08,477,4,503
"Northern Territory",2019-09-09,3584,1,3802
"Queensland",2019-09-09,2346,2,2457
"New South Wales",2019-09-09,1337,3,1401
"Western Australia",2019-09-09,503,4,569
"South Australia",2019-09-09,7,5,11
"Northern Territory",2019-09-10,3802,1,3896
"Queensland",2019-09-10,2457,2,2563
"New South Wales",2019-09-10,1401,3,1449
"Western Australia",2019-09-10,569,4,610
"Northern Territory",2019-09-11,3896,1,4091
"Queensland",2019-09-11,2563,2,2583
"New South Wales",2019-09-11,1449,3,1538
"Western Australia",2019-09-11,610,4,672
"Victoria",2019-09-11,18,5,19
"South Australia",2019-09-11,11,6,12
"Northern Territory",2019-09-12,4091,1,4236
"Queensland",2019-09-12,2583,2,2627
"New South Wales",2019-09-12,1538,3,1656
"Western Australia",2019-09-12,672,4,729
"South Australia",2019-09-12,12,5,23
"Northern Territory",2019-09-13,4236,1,4420
"Queensland",2019-09-13,2627,2,2694
"New South Wales",2019-09-13,1656,3,1759
"Western Australia",2019-09-13,729,4,750
"South Australia",2019-09-13,23,5,32
"Victoria",2019-09-13,19,6,20
"Northern Territory",2019-09-14,4420,1,4637
"Queensland",2019-09-14,2694,2,2714
"New South Wales",2019-09-14,1759,3,1826
"Western Australia",2019-09-14,750,4,814
"South Australia",2019-09-14,32,5,41
"Victoria",2019-09-14,20,6,23
"Northern Territory",2019-09-15,4637,1,4655
"Queensland",2019-09-15,2714,2,2762
"New South Wales",2019-09-15,1826,3,1975
"Western Australia",2019-09-15,814,4,815
"South Australia",2019-09-15,41,5,49
"Northern Territory",2019-09-16,4655,1,4775
"Queensland",2019-09-16,2762,2,2803
"New South Wales",2019-09-16,1975,3,1977
"Western Australia",2019-09-16,815,4,831
"South Australia",2019-09-16,49,5,51
"Northern Territory",2019-09-17,4775,1,4808
"Queensland",2019-09-17,2803,2,2890
"New South Wales",2019-09-17,1977,3,1991
"Western Australia",2019-09-17,831,4,837
"South Australia",2019-09-17,51,5,60
"Tasmania",2019-09-17,10,6,26
"Northern Territory",2019-09-18,4808,1,4884
"Queensland",2019-09-18,2890,2,2940
"New South Wales",2019-09-18,1991,3,2013
"Western Australia",2019-09-18,837,4,848
"Northern Territory",2019-09-19,4884,1,5013
"Queensland",2019-09-19,2940,2,2971
"New South Wales",2019-09-19,2013,3,2024
"Tasmania",2019-09-19,26,4,27
"Victoria",2019-09-19,23,5,24
"Northern Territory",2019-09-20,5013,1,5044
"Queensland",2019-09-20,2971,2,3007
"New South Wales",2019-09-20,2024,3,2025
"Western Australia",2019-09-20,848,4,865
"Tasmania",2019-09-20,27,5,29
"Northern Territory",2019-09-21,5044,1,5066
"Queensland",2019-09-21,3007,2,3035
"New South Wales",2019-09-21,2025,3,2044
"Western Australia",2019-09-21,865,4,904
"Northern Territory",2019-09-22,5066,1,5093
"Queensland",2019-09-22,3035,2,3113
"New South Wales",2019-09-22,2044,3,2101
"Western Australia",2019-09-22,904,4,908
"Tasmania",2019-09-22,29,5,31
"Northern Territory",2019-09-23,5093,1,5155
"Queensland",2019-09-23,3113,2,3150
"New South Wales",2019-09-23,2101,3,2113
"Western Australia",2019-09-23,908,4,963
"Northern Territory",2019-09-24,5155,1,5183
"Queensland",2019-09-24,3150,2,3205
"New South Wales",2019-09-24,2113,3,2118
"Western Australia",2019-09-24,963,4,987
"Northern Territory",2019-09-25,5183,1,5264
"Queensland",2019-09-25,3205,2,3220
"Western Australia",2019-09-25,987,3,997
"Northern Territory",2019-09-26,5264,1,5295
"Queensland",2019-09-26,3220,2,3264
"New South Wales",2019-09-26,2118,3,2165
"Western Australia",2019-09-26,997,4,1022
"Tasmania",2019-09-26,31,5,33
